PRODUCT_ID,PRODUCT_NAME,CUSTOMER_NAME,CUSTOMER_REVIEW,POSITIVE,NEGATIVE,NEUTRAL,SENTIMENT
PID4,ONEPLUS NORD,MEENA,"Heating issue while gaming",,-1,,-1
PID4,ONEPLUS NORD,SACHIN,"Not worth the price",,-1,,-1

PID5,REALME 11,ARJUN,"Good phone for daily use",1,,,1
PID5,REALME 11,RAVI,"Nice design and performance",1,,,1
PID5,REALME 11,PRIYA,"Value for money product",1,,,1
PID5,REALME 11,KIRAN,"Decent battery backup",,,0,0
PID5,REALME 11,SONAL,"Average camera quality",,,0,0

PID5,REALME 11,VIJAY,"Very bad experience",,-1,,-1
PID5,REALME 11,NISHA,"Screen quality is poor",,-1,,-1
PID5,REALME 11,DEEPAK,"Phone hangs frequently",,-1,,-1
PID5,REALME 11,ANITA,"Worst performance ever",,-1,,-1
PID5,REALME 11,MANOJ,"Totally useless phone",,-1,,-1

PID6,BOAT HEADPHONES,RAHUL,"Sound quality is amazing",1,,,1
PID6,BOAT HEADPHONES,AMIT,"Bass is very strong",1,,,1
PID6,BOAT HEADPHONES,SNEHA,"Comfortable to wear",1,,,1
PID6,BOAT HEADPHONES,ROHAN,"Good battery life",1,,,1
PID6,BOAT HEADPHONES,POOJA,"Stylish design",1,,,1

PID6,BOAT HEADPHONES,KARAN,"Sound is very low",,-1,,-1
PID6,BOAT HEADPHONES,NEHA,"Stopped working in 1 week",,-1,,-1
PID6,BOAT HEADPHONES,RAJ,"Poor build quality",,-1,,-1
PID6,BOAT HEADPHONES,MEENA,"Not comfortable",,-1,,-1
PID6,BOAT HEADPHONES,SACHIN,"Waste of money",,-1,,-1

PID7,SAMSUNG TV,ARJUN,"Picture quality is excellent",1,,,1
PID7,SAMSUNG TV,RAVI,"Smart features are great",1,,,1
PID7,SAMSUNG TV,PRIYA,"Sound quality is good",1,,,1
PID7,SAMSUNG TV,KIRAN,"Easy to install and use",1,,,1
PID7,SAMSUNG TV,SONAL,"Very good display",1,,,1

PID7,SAMSUNG TV,VIJAY,"Remote stopped working",,-1,,-1
PID7,SAMSUNG TV,NISHA,"Screen flickers sometimes",,-1,,-1
PID7,SAMSUNG TV,DEEPAK,"Very slow interface",,-1,,-1
PID7,SAMSUNG TV,ANITA,"Not satisfied with quality",,-1,,-1
PID7,SAMSUNG TV,MANOJ,"Too expensive for features",,-1,,-1

PIDX,TEST,USER,"its okay",,,0,0
PIDX,TEST,USER,"average product",,,0,0
PIDX,TEST,USER,"not bad",,,0,0
PIDX,TEST,USER,"fine quality",,,0,0
